star,gridstep,mean_distance
2,1,2.99782
2,0.99,2.99782
2,0.98,2.99782
2,0.97,2.99782
2,0.96,3.08009
2,0.95,3.08009
2,0.94,3.11417
2,0.93,3.11417
2,0.92,3.11417
2,0.91,3.11417
2,0.9,3.27904
2,0.89,3.27904
2,0.88,3.34307
2,0.87,3.40789
2,0.86,3.42169
2,0.85,3.42169
2,0.84,3.42169
2,0.83,3.47654
2,0.82,3.66836
2,0.81,3.66836
2,0.8,3.66836
2,0.79,3.66836
2,0.78,3.89581
2,0.77,3.96215
2,0.76,3.96215
2,0.75,4.07369
2,0.74,4.10203
2,0.73,4.10203
2,0.72,4.18932
2,0.71,4.26759
2,0.7,5.14972
2,0.69,5.17711
2,0.68,5.24607
2,0.67,5.29573
2,0.66,5.33255
2,0.65,5.4468
2,0.64,5.67293
2,0.63,5.67293
2,0.62,5.76001
2,0.61,5.84221
2,0.6,5.98892
2,0.59,6.12238
2,0.58,6.24602
2,0.57,6.66646
2,0.56,6.62943
2,0.55,6.73211
2,0.54,6.78986
2,0.53,6.9038
2,0.52,6.9324
2,0.51,7.36383
2,0.5,7.65591
2,0.49,7.68658
2,0.48,7.79435
2,0.47,7.89855
2,0.46,7.95201
2,0.45,8.11819
2,0.44,8.24366
2,0.43,8.40836
2,0.42,8.47547
2,0.41,8.567
2,0.4,8.78777
2,0.39,9.3546
2,0.38,9.51891
2,0.37,9.70339
2,0.36,9.83059
2,0.35,9.97757
2,0.34,10.1186
2,0.33,10.1808
2,0.32,10.2936
2,0.31,10.3391
2,0.3,11.3723
2,0.29,11.5021
2,0.28,11.6124
2,0.27,11.6636
2,0.26,11.7117
2,0.25,12.9023
2,0.24,12.9481
2,0.23,12.8609
2,0.22,12.7645
2,0.21,12.6976
2,0.2,13.8469
2,0.19,13.9042
2,0.18,13.9392
2,0.17,15.1106
2,0.16,15.1664
2,0.15,15.2273
2,0.14,16.5176
2,0.13,16.5986
2,0.12,17.9311
2,0.11,19.3781
2,0.1,19.5699
