star,gridstep,mean_distance
1,1,2.93257
1,0.99,2.93257
1,0.98,2.93257
1,0.97,2.93257
1,0.96,2.93257
1,0.95,2.93257
1,0.94,2.93257
1,0.93,2.93257
1,0.92,3.04699
1,0.91,3.04699
1,0.9,3.04699
1,0.89,3.04699
1,0.88,3.04699
1,0.87,3.1046
1,0.86,3.14063
1,0.85,3.14063
1,0.84,3.14063
1,0.83,3.14063
1,0.82,3.14063
1,0.81,3.14063
1,0.8,3.14063
1,0.79,3.14063
1,0.78,3.07526
1,0.77,3.05124
1,0.76,3.10648
1,0.75,3.21697
1,0.74,3.21697
1,0.73,3.21697
1,0.72,3.21697
1,0.71,3.21697
1,0.7,3.37623
1,0.69,3.37623
1,0.68,3.37623
1,0.67,3.36609
1,0.66,3.37444
1,0.65,3.37444
1,0.64,3.79405
1,0.63,3.79405
1,0.62,3.73616
1,0.61,3.69099
1,0.6,3.91695
1,0.59,3.91695
1,0.58,3.91695
1,0.57,3.91652
1,0.56,3.83216
1,0.55,3.93377
1,0.54,3.96436
1,0.53,4.02303
1,0.52,4.0378
1,0.51,4.0452
1,0.5,4.68368
1,0.49,4.66029
1,0.48,4.71623
1,0.47,4.63773
1,0.46,5.02855
1,0.45,5.00814
1,0.44,5.01532
1,0.43,5.05083
1,0.42,5.1916
1,0.41,5.20585
1,0.4,5.38017
1,0.39,5.37202
1,0.38,5.45392
1,0.37,5.57911
1,0.36,5.56226
1,0.35,5.76882
1,0.34,5.76673
1,0.33,6.52373
1,0.32,6.58375
1,0.31,6.82823
1,0.3,7.08156
1,0.29,6.92977
1,0.28,7.08211
1,0.27,7.31385
1,0.26,7.6229
1,0.25,8.28157
1,0.24,8.37397
1,0.23,8.87247
1,0.22,9.02569
1,0.21,9.20619
1,0.2,10.0986
1,0.19,10.2804
1,0.18,10.5318
1,0.17,11.2679
1,0.16,11.6992
1,0.15,12.1159
1,0.14,13.18
1,0.13,13.5356
1,0.12,14.5624
1,0.11,15.6931
1,0.1,16.3237
1,0.09,17.6299
1,0.08,18.9853
1,0.07,20.534
1,0.06,23.0463
