star,gridstep,mean_distance
1,1,1.60973
1,0.99,1.60973
1,0.98,1.60973
1,0.97,2.192
1,0.96,2.192
1,0.95,2.192
1,0.94,2.192
1,0.93,2.192
1,0.92,2.192
1,0.91,2.192
1,0.9,2.192
1,0.89,2.192
1,0.88,2.192
1,0.87,2.192
1,0.86,2.48232
1,0.85,2.48232
1,0.84,2.70035
1,0.83,2.70035
1,0.82,2.70035
1,0.81,2.70035
1,0.8,2.93664
1,0.79,2.93664
1,0.78,2.93664
1,0.77,2.89241
1,0.76,2.89241
1,0.75,3.11963
1,0.74,3.11963
1,0.73,3.11963
1,0.72,3.11963
1,0.71,3.11963
1,0.7,3.11152
1,0.69,3.24098
1,0.68,3.52151
1,0.67,3.52151
1,0.66,3.6451
1,0.65,3.56217
1,0.64,3.56217
1,0.63,3.56217
1,0.62,3.7341
1,0.61,3.89525
1,0.6,3.92229
1,0.59,4.04025
1,0.58,4.06686
1,0.57,4.33285
1,0.56,4.55669
1,0.55,4.49758
1,0.54,4.4858
1,0.53,4.58419
1,0.52,4.65574
1,0.51,4.68909
1,0.5,4.85652
1,0.49,5.24565
1,0.48,5.18901
1,0.47,5.33809
1,0.46,5.30633
1,0.45,5.48765
1,0.44,5.7623
1,0.43,5.90195
1,0.42,5.98826
1,0.41,5.92812
1,0.4,5.96789
1,0.39,6.26723
1,0.38,6.47016
1,0.37,6.46757
1,0.36,6.4969
1,0.35,6.67707
1,0.34,6.71518
1,0.33,6.70094
1,0.32,6.75525
1,0.31,6.8497
1,0.3,7.17071
1,0.29,7.18778
1,0.28,7.43797
1,0.27,7.59297
1,0.26,7.78329
1,0.25,8.11499
1,0.24,8.37875
1,0.23,8.58796
1,0.22,8.8753
1,0.21,9.23908
1,0.2,9.68799
1,0.19,10.1226
1,0.18,10.5826
1,0.17,11.2101
1,0.16,11.8061
1,0.15,12.4935
1,0.14,13.3259
1,0.13,14.0421
1,0.12,15.0542
1,0.11,16.2125
1,0.1,17.2675
1,0.09,18.9342
1,0.08,20.5924
