star,gridstep,mean_distance
2,1,2.94934
2,0.99,2.94934
2,0.98,2.94934
2,0.97,2.94934
2,0.96,3.06724
2,0.95,3.06724
2,0.94,3.06724
2,0.93,3.15373
2,0.92,3.15461
2,0.91,3.15461
2,0.9,3.15461
2,0.89,3.15461
2,0.88,3.1425
2,0.87,3.20239
2,0.86,3.30458
2,0.85,3.30458
2,0.84,3.33717
2,0.83,3.45532
2,0.82,3.43572
2,0.81,3.44305
2,0.8,3.83873
2,0.79,3.83873
2,0.78,3.82061
2,0.77,4.01958
2,0.76,4.01958
2,0.75,3.98263
2,0.74,4.06497
2,0.73,4.07859
2,0.72,4.1986
2,0.71,4.25825
2,0.7,4.92289
2,0.69,4.99575
2,0.68,5.31375
2,0.67,5.32856
2,0.66,5.39043
2,0.65,5.48869
2,0.64,5.5873
2,0.63,5.7857
2,0.62,5.8518
2,0.61,6.00521
2,0.6,6.03936
2,0.59,6.23057
2,0.58,6.35387
2,0.57,6.88461
2,0.56,7.01237
2,0.55,7.07101
2,0.54,7.08134
2,0.53,7.14157
2,0.52,7.15094
2,0.51,7.9806
2,0.5,8.18709
2,0.49,8.24108
2,0.48,8.32816
2,0.47,8.33579
2,0.46,8.36731
2,0.45,8.43319
2,0.44,8.55225
2,0.43,8.59362
2,0.42,8.63333
2,0.41,8.66657
2,0.4,8.72535
2,0.39,9.74503
2,0.38,9.76526
2,0.37,9.87854
2,0.36,9.90946
2,0.35,9.96984
2,0.34,10.0151
2,0.33,10.0471
2,0.32,10.0865
2,0.31,10.1217
2,0.3,11.325
2,0.29,11.3516
2,0.28,11.4128
2,0.27,11.4439
2,0.26,11.4928
2,0.25,12.7274
2,0.24,12.7715
2,0.23,12.8346
2,0.22,12.8804
2,0.21,12.9178
2,0.2,14.2091
2,0.19,14.2439
2,0.18,14.284
2,0.17,15.5584
2,0.16,15.5939
2,0.15,15.6277
2,0.14,16.9312
2,0.13,16.9364
2,0.12,18.2192
2,0.11,19.4579
2,0.1,19.445
2,0.09,20.4944
2,0.08,21.2598
