star,gridstep,mean_distance
1,0.4,5.96789
1,0.39,6.26723
1,0.38,6.47016
1,0.37,6.46757
1,0.36,6.4969
1,0.35,6.67707
1,0.34,6.71518
1,0.33,6.70094
1,0.32,6.75525
1,0.31,6.8497
1,0.3,7.17071
1,0.29,7.18778
1,0.28,7.43797
1,0.27,7.59297
1,0.26,7.78329
1,0.25,8.11499
1,0.24,8.37875
1,0.23,8.58796
1,0.22,8.8753
1,0.21,9.23908
1,0.2,9.68799
1,0.19,10.1226
1,0.18,10.5826
1,0.17,11.2101
1,0.16,11.8061
1,0.15,12.4935
1,0.14,13.3259
1,0.13,14.0421
1,0.12,15.0542
1,0.11,16.2125
1,0.1,17.2675
1,0.09,18.9342
1,0.08,20.5924
