star,gridstep,mean_distance
1,0.4,8.31772
1,0.39,9.31651
1,0.38,9.36119
1,0.37,9.50753
1,0.36,9.56316
1,0.35,9.65093
1,0.34,9.7271
1,0.33,9.76783
1,0.32,9.83591
1,0.31,9.89111
1,0.3,11.1023
1,0.29,11.1371
1,0.28,11.23
1,0.27,11.2834
1,0.26,11.3428
1,0.25,12.6001
1,0.24,12.6568
1,0.23,12.737
1,0.22,12.8002
1,0.21,12.8521
1,0.2,14.156
1,0.19,14.2042
1,0.18,14.2546
1,0.17,15.5392
1,0.16,15.5782
1,0.15,15.616
1,0.14,16.9265
1,0.13,16.936
1,0.12,18.2206
1,0.11,19.4592
1,0.1,19.445
1,0.09,20.4944
1,0.08,21.2598
