gridstep,error
1,0
0.99,0
0.98,0
0.97,0
0.96,2.10249
0.95,2.11089
0.94,2.1198
0.93,2.12928
0.92,2.13937
0.91,2.15012
0.9,0
0.89,0
0.88,0
0.87,0
0.86,0
0.85,0
0.84,0
0.83,0
0.82,0
0.81,0
0.8,1.24222
0.79,1.24808
0.78,1.25415
0.77,1.39846
0.76,1.40451
0.75,0.628843
0.74,0.648351
0.73,0.668189
0.72,0.688332
0.71,0.708758
0.7,0.730558
0.69,0.799919
0.68,0.76749
0.67,0.747342
0.66,0.707418
0.65,0.677763
0.64,0.699383
0.63,0.721297
0.62,0.717265
0.61,0.703974
0.6,1.28455
0.59,0.764007
0.58,0.786999
0.57,0.776132
0.56,0.801641
0.55,1.2357
0.54,1.22505
0.53,1.23533
0.52,1.24544
0.51,0.839339
0.5,1.1597
0.49,1.185
0.48,1.19681
0.47,1.22823
0.46,1.19375
0.45,1.19807
0.44,1.1955
0.43,1.1633
0.42,1.17936
0.41,1.21938
0.4,0.710475
0.39,1.1959
0.38,1.18987
0.37,1.1946
0.36,0.811648
0.35,0.736104
0.34,0.654444
0.33,0.654623
0.32,0.643805
0.31,0.585371
0.3,0.624671
0.29,0.564791
0.28,0.571108
0.27,0.596098
0.26,0.597899
0.25,0.515289
0.24,0.514483
0.23,0.404187
0.22,0.364064
0.21,0.377647
0.2,0.342676
0.19,0.311594
0.18,0.139872
0.17,0.162445
0.16,0.155392
0.15,0.160734
0.14,0.165228
0.13,0.181811
0.12,0.201131
