gridstep,error
1,0
0.99,0
0.98,0
0.97,0
0.96,1.00697
0.95,0.997943
0.94,0.98835
0.93,0.978142
0.92,0.967266
0.91,0.955656
0.9,0
0.89,0
0.88,0
0.87,0
0.86,0
0.85,0
0.84,0
0.83,0
0.82,0
0.81,0
0.8,0.530724
0.79,0.546987
0.78,0.563718
0.77,1.22754
0.76,1.22056
0.75,0.879217
0.74,0.871327
0.73,0.521508
0.72,0.54265
0.71,0.803874
0.7,0.775274
0.69,0.699401
0.68,0.704134
0.67,0.684406
0.66,1.02051
0.65,0.581972
0.64,0.603481
0.63,0.625284
0.62,0.660888
0.61,0.658394
0.6,0.691059
0.59,0.715287
0.58,0.738359
0.57,0.707034
0.56,0.751319
0.55,1.41809
0.54,1.50923
0.53,1.42683
0.52,2.80699
0.51,0.813837
0.5,1.20947
0.49,1.21315
0.48,1.16286
0.47,1.16855
0.46,1.11687
0.45,1.128
0.44,1.22318
0.43,1.12467
0.42,1.10709
0.41,1.23821
0.4,0.815674
0.39,1.15353
0.38,1.09111
0.37,1.09644
0.36,0.914922
0.35,0.90142
0.34,0.875501
0.33,0.869573
0.32,0.904297
0.31,0.898529
0.3,0.924745
0.29,0.937723
0.28,0.943457
0.27,0.912207
0.26,0.942093
0.25,0.989675
0.24,1.02618
0.23,1.03803
0.22,1.00408
0.21,0.980547
0.2,0.650699
0.19,0.345343
0.18,0.18804
0.17,0.137359
0.16,0.129985
0.15,0.0866884
0.14,0.0896917
0.13,0.0827397
0.12,0.0757394
