gridstep,error
1,2.29979
0.99,2.29979
0.98,2.29979
0.97,2.29979
0.96,2.29979
0.95,2.29979
0.94,2.29979
0.93,2.31907
0.92,2.31907
0.91,2.31907
0.9,2.31907
0.89,2.31907
0.88,1.77209
0.87,1.68233
0.86,2.29979
0.85,2.29979
0.84,2.29979
0.83,2.29979
0.82,2.22843
0.81,1.95231
0.8,1.95231
0.79,1.95231
0.78,2.31907
0.77,2.31907
0.76,2.31907
0.75,2.29979
0.74,2.22843
0.73,1.95231
0.72,1.95231
0.71,1.68233
0.7,2.18813
0.69,1.9481
0.68,1.95231
0.67,2.52613
0.66,2.31907
0.65,2.40232
0.64,1.9481
0.63,1.85788
0.62,1.95231
0.61,1.94366
0.6,2.31907
0.59,1.85788
0.58,1.6876
0.57,1.68722
0.56,1.85788
0.55,2.52613
0.54,1.45358
0.53,1.85788
0.52,1.51979
0.51,1.85788
0.5,1.73962
0.49,0.680595
0.48,0.727992
0.47,0.756239
0.46,0.772889
0.45,0.758615
0.44,0.638738
0.43,0.673006
0.42,0.738063
0.41,0.713805
0.4,0.648188
0.39,0.638491
0.38,0.826661
0.37,0.580605
0.36,0.580605
0.35,0.530952
0.34,0.545466
0.33,0.469213
0.32,0.505943
0.31,0.501015
0.3,0.422358
0.29,0.463024
0.28,0.363816
0.27,0.316753
0.26,0.28081
0.25,0.279761
0.24,0.225507
0.23,0.171817
0.22,0.0807111
0.21,0.0671724
0.2,0.0671724
0.19,0.0671724
0.18,0.0671724
0.17,0.0671724
0.16,0.0671724
0.15,0.0671724
0.14,0.0671724
0.13,0.0671724
0.12,0.0671724
