gridstep,error
1,0
0.99,0.112423
0.98,0.243037
0.97,0.249523
0.96,0.250432
0.95,0.257023
0.94,0.223503
0.93,0.216736
0.92,0.225007
0.91,0.239316
0.9,0.201112
0.89,0.636865
0.88,0.754579
0.87,0.784999
0.86,0.685532
0.85,0.685729
0.84,0.594994
0.83,0.513909
0.82,0.467326
0.81,0.472478
0.8,0.475407
0.79,0.587421
0.78,0.691821
0.77,0.728899
0.76,0.730224
0.75,0.591448
0.74,0.70839
0.73,0.118588
0.72,0.106794
0.71,0.111135
0.7,0.166259
0.69,0.61829
0.68,0.597773
0.67,0.575558
0.66,0.538983
0.65,0.524691
0.64,0.646071
0.63,0.551029
0.62,0.530998
0.61,0.464259
0.6,0.505912
0.59,0.556253
0.58,0.625354
0.57,0.468685
0.56,0.413897
0.55,0.426958
0.54,0.45868
0.53,0.334786
0.52,0.387679
0.51,0.406587
0.5,0.179335
0.49,0.332261
0.48,0.245985
0.47,0.270509
0.46,0.308754
0.45,0.239868
0.44,0.1821
0.43,0.166647
0.42,0.224339
0.41,0.21358
0.4,0.128434
0.39,0.130183
0.38,0.202273
0.37,0.117509
0.36,0.110936
0.35,0.1059
0.34,0.107161
0.33,0.0692845
0.32,0.0889713
0.31,0.0639948
0.3,0.0619013
0.29,0.0791835
0.28,0.0443263
0.27,0.0399934
0.26,0.0379153
0.25,0.0253558
0.24,0.0216839
0.23,0.0225641
0.22,0.0202768
0.21,0.0190886
0.2,0.020909
0.19,0.0200111
0.18,0.0201997
0.17,0.018782
0.16,0.0186575
0.15,0.0205971
0.14,0.0191621
0.13,0.0185256
0.12,0.0197639
