gridstep,error
1,0
0.99,0.241541
0.98,0.350198
0.97,0.353388
0.96,0.349956
0.95,0.352773
0.94,0.300597
0.93,0.292552
0.92,0.33023
0.91,0.342004
0.9,0.302823
0.89,0.771589
0.88,0.993395
0.87,0.990348
0.86,0.82751
0.85,0.826796
0.84,0.725697
0.83,0.584413
0.82,0.54337
0.81,0.547538
0.8,0.546839
0.79,0.694768
0.78,0.818551
0.77,0.802747
0.76,0.803509
0.75,0.671736
0.74,0.801918
0.73,0.216566
0.72,0.213685
0.71,0.195089
0.7,0.219097
0.69,0.686703
0.68,0.649357
0.67,0.617671
0.66,0.591025
0.65,0.571534
0.64,0.691934
0.63,0.589261
0.62,0.55733
0.61,0.484345
0.6,0.526088
0.59,0.577838
0.58,0.637701
0.57,0.491734
0.56,0.441287
0.55,0.462061
0.54,0.489243
0.53,0.368706
0.52,0.418686
0.51,0.43635
0.5,0.17835
0.49,0.342544
0.48,0.251647
0.47,0.319168
0.46,0.350088
0.45,0.286775
0.44,0.200034
0.43,0.181244
0.42,0.270776
0.41,0.261619
0.4,0.144908
0.39,0.141676
0.38,0.259838
0.37,0.110173
0.36,0.10114
0.35,0.097265
0.34,0.112817
0.33,0.088904
0.32,0.0745722
0.31,0.0788416
0.3,0.0711696
0.29,0.0595866
0.28,0.050788
0.27,0.0446045
0.26,0.0362848
0.25,0.035465
0.24,0.0321323
0.23,0.0283119
0.22,0.0265745
0.21,0.0250497
0.2,0.0239718
0.19,0.0192645
0.18,0.0174219
0.17,0.0147884
0.16,0.0129213
0.15,0.0115731
0.14,0.00890749
0.13,0.00758892
0.12,0.00566756
