gridstep,error
1,0
0.99,0
0.98,0
0.97,0
0.96,0.622432
0.95,0.622469
0.94,0.622519
0.93,0.622584
0.92,0.622669
0.91,0.622775
0.9,0
0.89,0
0.88,0
0.87,0
0.86,0
0.85,0
0.84,0
0.83,0
0.82,0
0.81,0
0.8,0.422205
0.79,0.426288
0.78,0.430721
0.77,0.46359
0.76,0.467267
0.75,0.277124
0.74,0.276534
0.73,0.284917
0.72,0.293506
0.71,0.312175
0.7,0.332284
0.69,0.292613
0.68,0.249788
0.67,0.176753
0.66,0.163062
0.65,0.164345
0.64,0.163058
0.63,0.176875
0.62,0.159814
0.61,0.163412
0.6,0.385884
0.59,0.249392
0.58,0.254751
0.57,0.211263
0.56,0.202049
0.55,0.335607
0.54,0.330412
0.53,0.339762
0.52,0.323727
0.51,0.239199
0.5,0.297636
0.49,0.281215
0.48,0.249748
0.47,0.316773
0.46,0.293748
0.45,0.264619
0.44,0.305863
0.43,0.267755
0.42,0.28628
0.41,0.254695
0.4,0.158949
0.39,0.24805
0.38,0.238634
0.37,0.207142
0.36,0.168691
0.35,0.176718
0.34,0.161623
0.33,0.151517
0.32,0.144259
0.31,0.125373
0.3,0.128094
0.29,0.120279
0.28,0.10466
0.27,0.105755
0.26,0.0981545
0.25,0.0896563
0.24,0.0792135
0.23,0.0751982
0.22,0.0664871
0.21,0.0639428
0.2,0.0640061
0.19,0.0548722
0.18,0.0541358
0.17,0.0532998
0.16,0.0543427
0.15,0.0542908
0.14,0.054918
0.13,0.0539244
0.12,0.0546659
