gridstep,error
1,0
0.99,0
0.98,0
0.97,0
0.96,0.483071
0.95,0.480695
0.94,0.47818
0.93,0.475514
0.92,0.472685
0.91,0.46968
0.9,0
0.89,0
0.88,0
0.87,0
0.86,0
0.85,0
0.84,0
0.83,0
0.82,0
0.81,0
0.8,0.277713
0.79,0.283929
0.78,0.290611
0.77,0.378968
0.76,0.383754
0.75,0.367052
0.74,0.365282
0.73,0.32638
0.72,0.3348
0.71,0.360093
0.7,0.370354
0.69,0.320729
0.68,0.274175
0.67,0.171496
0.66,0.173184
0.65,0.211187
0.64,0.198413
0.63,0.208372
0.62,0.190659
0.61,0.195044
0.6,0.273432
0.59,0.276022
0.58,0.254768
0.57,0.232084
0.56,0.216366
0.55,0.407441
0.54,0.397802
0.53,0.420517
0.52,0.486034
0.51,0.245416
0.5,0.29931
0.49,0.302409
0.48,0.278821
0.47,0.366045
0.46,0.324945
0.45,0.299029
0.44,0.36981
0.43,0.281997
0.42,0.299177
0.41,0.292705
0.4,0.191899
0.39,0.273212
0.38,0.236612
0.37,0.239805
0.36,0.170982
0.35,0.181313
0.34,0.159729
0.33,0.159465
0.32,0.149698
0.31,0.136551
0.3,0.133911
0.29,0.123504
0.28,0.10597
0.27,0.106326
0.26,0.0949972
0.25,0.0895904
0.24,0.0738598
0.23,0.0598241
0.22,0.0586751
0.21,0.0541895
0.2,0.047124
0.19,0.0412783
0.18,0.0361135
0.17,0.0312767
0.16,0.0253329
0.15,0.024553
0.14,0.0241322
0.13,0.0243474
0.12,0.0255996
