gridstep,error
1,0.775882
0.99,0.774387
0.98,0.768303
0.97,0.817912
0.96,0.909276
0.95,0.915531
0.94,0.920959
0.93,0.880849
0.92,0.803399
0.91,0.770683
0.9,0.710804
0.89,0.615201
0.88,0.580825
0.87,0.549174
0.86,0.584722
0.85,0.588014
0.84,0.582805
0.83,0.56749
0.82,0.66898
0.81,0.610639
0.8,0.606746
0.79,0.531681
0.78,0.573034
0.77,0.557867
0.76,0.577184
0.75,0.536944
0.74,0.58633
0.73,0.628184
0.72,0.668844
0.71,0.638184
0.7,0.583577
0.69,0.50438
0.68,0.507632
0.67,0.52305
0.66,0.49392
0.65,0.464185
0.64,0.41331
0.63,0.409669
0.62,0.440574
0.61,0.402439
0.6,0.414916
0.59,0.397931
0.58,0.403633
0.57,0.355636
0.56,0.393149
0.55,0.384049
0.54,0.326549
0.53,0.36814
0.52,0.319199
0.51,0.32572
0.5,0.284571
0.49,0.256574
0.48,0.237288
0.47,0.268483
0.46,0.280098
0.45,0.274399
0.44,0.210915
0.43,0.225555
0.42,0.252483
0.41,0.236353
0.4,0.20283
0.39,0.178913
0.38,0.212381
0.37,0.160863
0.36,0.155306
0.35,0.145554
0.34,0.132038
0.33,0.114245
0.32,0.127625
0.31,0.100127
0.3,0.0867191
0.29,0.0989391
0.28,0.0733769
0.27,0.0586137
0.26,0.0529194
0.25,0.0327634
0.24,0.0270698
0.23,0.0226353
0.22,0.0190737
0.21,0.0190608
0.2,0.0183985
0.19,0.018891
0.18,0.0186907
0.17,0.0186354
0.16,0.0188959
0.15,0.0187522
0.14,0.0185689
0.13,0.0188465
0.12,0.0188209
