gridstep,error
0.11,0.036116
0.1075,0.0359172
0.105,0.0552625
0.1025,0.0523566
0.1,0.0382129
0.0975,0.0406648
0.095,0.0613901
0.0925,0.0630106
0.09,0.0482383
0.0875,0.0520314
0.085,0.0680577
0.0825,0.0519945
0.08,0.0766782
0.0775,0.0745186
0.075,0.0599114
0.0725,0.0798656
0.07,0.0686712
0.0675,0.085366
0.065,0.070579
0.0625,0.0727622
0.06,0.0915586
0.0575,0.0765721
0.055,0.0761621
0.0525,0.0807545
0.05,0.0828838
0.0475,0.0843309
0.045,0.0846019
0.0425,0.103259
0.04,0.0897639
0.0375,0.104525
0.035,0.107178
0.0325,0.110185
0.03,0.0977909
