gridstep,error
0.11,0.0150228
0.1075,0.0139328
0.105,0.0148217
0.1025,0.0152555
0.1,0.0147315
0.0975,0.0130664
0.095,0.0169019
0.0925,0.015028
0.09,0.014281
0.0875,0.0149761
0.085,0.0145133
0.0825,0.0129527
0.08,0.0190928
0.0775,0.015134
0.075,0.0160265
0.0725,0.0154985
0.07,0.0154604
0.0675,0.0145738
0.065,0.0144104
0.0625,0.0121334
0.06,0.0129846
0.0575,0.012274
0.055,0.0123192
0.0525,0.0131584
0.05,0.0117965
0.0475,0.0118272
0.045,0.0113
0.0425,0.0107591
0.04,0.0105777
0.0375,0.0100885
0.035,0.00982377
0.0325,0.00918889
0.03,0.00902921
