gridstep,error
0.11,0.0813371
0.1075,0.076368
0.105,0.0753958
0.1025,0.0783224
0.1,0.0926414
0.0975,0.0827084
0.095,0.0852412
0.0925,0.0937019
0.09,0.0912474
0.0875,0.0864186
0.085,0.0950342
0.0825,0.102927
0.08,0.0925919
0.0775,0.104571
0.075,0.103308
0.0725,0.0999562
0.07,0.102077
0.0675,0.112555
0.065,0.114083
0.0625,0.116388
0.06,0.121256
0.0575,0.118249
0.055,0.123598
0.0525,0.126364
0.05,0.130524
0.0475,0.130229
0.045,0.135639
0.0425,0.134646
0.04,0.138381
0.0375,0.14042
0.035,0.144438
0.0325,0.148055
0.03,0.150177
