gridstep,error
0.11,0.0890694
0.1075,0.0870793
0.105,0.0921136
0.1025,0.0953304
0.1,0.101105
0.0975,0.0969689
0.095,0.0927569
0.0925,0.104212
0.09,0.0956577
0.0875,0.0854864
0.085,0.0889416
0.0825,0.0952322
0.08,0.0879279
0.0775,0.0999192
0.075,0.0978656
0.0725,0.101483
0.07,0.0997487
0.0675,0.101827
0.065,0.0996684
0.0625,0.100521
0.06,0.104337
0.0575,0.104444
0.055,0.10304
0.0525,0.106473
0.05,0.102039
0.0475,0.104874
0.045,0.103825
0.0425,0.104879
0.04,0.106127
0.0375,0.105568
0.035,0.10997
0.0325,0.109152
0.03,0.108138
