gridstep,error
0.11,0.0565235
0.1075,0.0495507
0.105,0.0466128
0.1025,0.0531593
0.1,0.0642289
0.0975,0.0508743
0.095,0.0466206
0.0925,0.0561414
0.09,0.0487603
0.0875,0.0461091
0.085,0.0369791
0.0825,0.0516521
0.08,0.0354177
0.0775,0.0449346
0.075,0.0426948
0.0725,0.0368464
0.07,0.0396855
0.0675,0.0381521
0.065,0.0400972
0.0625,0.0359877
0.06,0.041127
0.0575,0.0305175
0.055,0.0308805
0.0525,0.0299218
0.05,0.0278829
0.0475,0.0266974
0.045,0.0248763
0.0425,0.0266121
0.04,0.024583
0.0375,0.0234443
0.035,0.0225721
0.0325,0.0218329
0.03,0.0207817
