gridstep,error
0.11,0.328216
0.1075,0.32399
0.105,0.485046
0.1025,0.442312
0.1,0.332781
0.0975,0.348691
0.095,0.499508
0.0925,0.52287
0.09,0.407022
0.0875,0.446657
0.085,0.549589
0.0825,0.439677
0.08,0.597516
0.0775,0.589809
0.075,0.496089
0.0725,0.683922
0.07,0.560204
0.0675,0.682992
0.065,0.550781
0.0625,0.509333
0.06,0.647404
0.0575,0.531962
0.055,0.49652
0.0525,0.500254
0.05,0.483174
0.0475,0.49825
0.045,0.468414
0.0425,0.580472
0.04,0.591799
0.0375,0.634406
0.035,0.670169
0.0325,0.719573
0.03,0.696467
