gridstep,error
0.11,0.302743
0.1075,0.30296
0.105,0.309493
0.1025,0.324528
0.1,0.344808
0.0975,0.345558
0.095,0.346324
0.0925,0.365994
0.09,0.364922
0.0875,0.344781
0.085,0.339385
0.0825,0.359703
0.08,0.349122
0.0775,0.360213
0.075,0.365091
0.0725,0.386635
0.07,0.385094
0.0675,0.402126
0.065,0.413017
0.0625,0.420943
0.06,0.428122
0.0575,0.419321
0.055,0.417444
0.0525,0.436102
0.05,0.42998
0.0475,0.451407
0.045,0.440818
0.0425,0.460602
0.04,0.478996
0.0375,0.484253
0.035,0.496445
0.0325,0.511984
0.03,0.515599
