gridstep,error
0.11,0.221066
0.1075,0.210261
0.105,0.171657
0.1025,0.216593
0.1,0.241317
0.0975,0.214909
0.095,0.213431
0.0925,0.239188
0.09,0.212527
0.0875,0.210337
0.085,0.18356
0.0825,0.263006
0.08,0.17872
0.0775,0.247873
0.075,0.229171
0.0725,0.190274
0.07,0.203732
0.0675,0.199436
0.065,0.236861
0.0625,0.183531
0.06,0.259667
0.0575,0.177909
0.055,0.167713
0.0525,0.179661
0.05,0.163618
0.0475,0.146515
0.045,0.155139
0.0425,0.163767
0.04,0.15864
0.0375,0.15841
0.035,0.153607
0.0325,0.141382
0.03,0.149481
