gridstep,error
0.11,0.254875
0.1075,0.238609
0.105,0.213152
0.1025,0.255138
0.1,0.278551
0.0975,0.246638
0.095,0.243673
0.0925,0.271752
0.09,0.244859
0.0875,0.232983
0.085,0.206823
0.0825,0.288759
0.08,0.198458
0.0775,0.271723
0.075,0.248393
0.0725,0.207542
0.07,0.219224
0.0675,0.213376
0.065,0.25076
0.0625,0.202224
0.06,0.278103
0.0575,0.187793
0.055,0.173987
0.0525,0.188689
0.05,0.170548
0.0475,0.149006
0.045,0.160942
0.0425,0.168254
0.04,0.159249
0.0375,0.154595
0.035,0.152281
0.0325,0.140155
0.03,0.14544
