gridstep,error
1,0
0.99,0.696645
0.98,0.711912
0.97,0.729504
0.96,0.732226
0.95,0.75004
0.94,0.752171
0.93,0.769581
0.92,0.787075
0.91,0.804633
0.9,0.722
0.89,1.62385
0.88,1.59136
0.87,1.62222
0.86,1.63294
0.85,1.63294
0.84,1.63294
0.83,1.53443
0.82,1.5708
0.81,1.5708
0.8,1.5708
0.79,1.58035
0.78,1.67985
0.77,1.59193
0.76,1.59193
0.75,1.72578
0.74,1.75198
0.73,0.694385
0.72,0.663957
0.71,0.679461
0.7,0.799476
0.69,1.53374
0.68,1.46501
0.67,1.57387
0.66,1.55313
0.65,1.5708
0.64,1.5708
0.63,1.5708
0.62,1.7496
0.61,1.60469
0.6,1.67425
0.59,1.72699
0.58,1.67899
0.57,1.75133
0.56,1.54855
0.55,1.52243
0.54,1.59748
0.53,1.57438
0.52,1.6252
0.51,1.6099
0.5,0.67114
0.49,1.78747
0.48,1.62373
0.47,1.03074
0.46,1.56618
0.45,1.12331
0.44,0.626152
0.43,0.661341
0.42,0.800124
0.41,0.796703
0.4,0.503093
0.39,0.527696
0.38,0.843508
0.37,0.479819
0.36,0.433415
0.35,0.422463
0.34,0.454835
0.33,0.395298
0.32,0.393069
0.31,0.40882
0.3,0.42132
0.29,0.320654
0.28,0.30772
0.27,0.216117
0.26,0.179115
0.25,0.145889
0.24,0.143107
0.23,0.151769
0.22,0.154755
0.21,0.155315
0.2,0.128606
0.19,0.163737
0.18,0.175843
0.17,0.152023
0.16,0.162996
0.15,0.201962
0.14,0.179063
0.13,0.156425
0.12,0.19273
