gridstep,error
1,0
0.99,0.406377
0.98,0.802233
0.97,0.815354
0.96,0.825591
0.95,0.839112
0.94,0.659443
0.93,0.67792
0.92,0.696442
0.91,0.714996
0.9,0.696555
0.89,1.5708
0.88,1.5708
0.87,1.61932
0.86,1.64945
0.85,1.64945
0.84,1.64945
0.83,1.40203
0.82,1.5708
0.81,1.5708
0.8,1.5708
0.79,1.57292
0.78,1.63143
0.77,1.60712
0.76,1.60712
0.75,1.66963
0.74,1.72774
0.73,0.465004
0.72,0.444381
0.71,0.460073
0.7,0.7307
0.69,1.43216
0.68,1.48484
0.67,1.48928
0.66,1.54496
0.65,1.5708
0.64,1.5708
0.63,1.5708
0.62,1.58796
0.61,1.60864
0.6,1.6626
0.59,1.6881
0.58,1.71726
0.57,1.69974
0.56,1.49409
0.55,1.53753
0.54,1.5708
0.53,1.57002
0.52,1.64402
0.51,1.61404
0.5,0.862246
0.49,1.71798
0.48,1.6911
0.47,1.08245
0.46,1.59078
0.45,1.17283
0.44,0.839225
0.43,0.854512
0.42,0.976603
0.41,0.985533
0.4,0.709347
0.39,0.77908
0.38,0.987953
0.37,0.665399
0.36,0.666398
0.35,0.503982
0.34,0.607458
0.33,0.40059
0.32,0.499948
0.31,0.399508
0.3,0.41417
0.29,0.462538
0.28,0.339337
0.27,0.277625
0.26,0.285484
0.25,0.229867
0.24,0.189948
0.23,0.174106
0.22,0.142649
0.21,0.114179
0.2,0.0801276
0.19,0.121919
0.18,0.140433
0.17,0.0878046
0.16,0.0967044
0.15,0.156715
0.14,0.110272
0.13,0.0989951
0.12,0.125727
