gridstep,error
1,0
0.99,1.00675
0.98,0.995787
0.97,0.983996
0.96,0.985543
0.95,0.995318
0.94,1.01459
0.93,1.03222
0.92,1.0499
0.91,1.06763
0.9,1.02372
0.89,1.75361
0.88,2.3145
0.87,2.28445
0.86,2.11889
0.85,2.11912
0.84,2.11935
0.83,1.95594
0.82,2.12821
0.81,2.12898
0.8,2.12975
0.79,2.13051
0.78,2.09386
0.77,1.89247
0.76,1.89309
0.75,2.0958
0.74,2.19418
0.73,0.761071
0.72,0.753575
0.71,0.792246
0.7,1.07478
0.69,1.78995
0.68,1.81978
0.67,1.81479
0.66,1.87035
0.65,1.78347
0.64,1.82053
0.63,1.82177
0.62,1.69707
0.61,1.69003
0.6,1.84484
0.59,1.78875
0.58,1.83597
0.57,1.91216
0.56,1.57678
0.55,1.61281
0.54,1.64426
0.53,1.57787
0.52,1.74389
0.51,1.63813
0.5,0.78374
0.49,1.77185
0.48,1.67137
0.47,1.23197
0.46,1.58464
0.45,1.28504
0.44,0.838024
0.43,0.959395
0.42,1.15332
0.41,1.15666
0.4,0.898604
0.39,1.02115
0.38,1.42319
0.37,0.788921
0.36,0.814054
0.35,0.866604
0.34,1.07808
0.33,0.774269
0.32,0.80596
0.31,0.875164
0.3,0.600277
0.29,0.655966
0.28,0.602773
0.27,0.25177
0.26,0.247135
0.25,0.196538
0.24,0.173197
0.23,0.155739
0.22,0.150717
0.21,0.143235
0.2,0.135206
0.19,0.118266
0.18,0.103317
0.17,0.0922003
0.16,0.0829824
0.15,0.0741113
0.14,0.0621989
0.13,0.0487973
0.12,0.0386945
