gridstep,error
1,0
0.99,0
0.98,0
0.97,0
0.96,1.18328
0.95,1.17746
0.94,1.1713
0.93,1.16477
0.92,1.15784
0.91,1.15048
0.9,0
0.89,0
0.88,0
0.87,0
0.86,0
0.85,0
0.84,0
0.83,0
0.82,0
0.81,0
0.8,0.629674
0.79,0.646813
0.78,0.664362
0.77,0.777412
0.76,0.770422
0.75,0.726878
0.74,0.74599
0.73,0.76543
0.72,0.785175
0.71,0.805204
0.7,0.80846
0.69,0.867264
0.68,0.831862
0.67,0.682514
0.66,0.707843
0.65,0.771777
0.64,0.793397
0.63,0.815311
0.62,0.786398
0.61,0.743879
0.6,0.766527
0.59,0.816771
0.58,0.772544
0.57,0.75798
0.56,0.764256
0.55,1.56119
0.54,1.59592
0.53,1.70134
0.52,2.31172
0.51,0.791098
0.5,1.2938
0.49,1.35866
0.48,1.51928
0.47,1.7086
0.46,1.43278
0.45,1.45054
0.44,1.78945
0.43,1.34868
0.42,1.46697
0.41,1.68646
0.4,0.709863
0.39,1.52252
0.38,1.3314
0.37,1.67672
0.36,0.687738
0.35,0.698888
0.34,0.715121
0.33,0.715259
0.32,0.68901
0.31,0.641482
0.3,0.711073
0.29,0.658091
0.28,0.659643
0.27,0.681122
0.26,0.662847
0.25,0.663614
0.24,0.647709
0.23,0.320137
0.22,0.322881
0.21,0.328672
0.2,0.296549
0.19,0.278182
0.18,0.294973
0.17,0.283678
0.16,0.112656
0.15,0.100796
0.14,0.110304
0.13,0.133395
0.12,0.149225
