gridstep,error
1,2.43893
0.99,2.43893
0.98,2.43893
0.97,2.43893
0.96,2.4845
0.95,2.4845
0.94,2.4845
0.93,2.48254
0.92,2.44698
0.91,2.44698
0.9,2.44698
0.89,2.44698
0.88,2.45384
0.87,2.43751
0.86,2.44447
0.85,2.44447
0.84,2.47947
0.83,2.43893
0.82,2.48254
0.81,2.43893
0.8,2.55351
0.79,2.55351
0.78,2.48116
0.77,2.48116
0.76,2.48116
0.75,2.46005
0.74,2.48254
0.73,2.43751
0.72,2.43893
0.71,2.47085
0.7,2.44447
0.69,2.46005
0.68,2.4845
0.67,2.49476
0.66,2.48116
0.65,2.47302
0.64,2.46005
0.63,2.43893
0.62,2.43893
0.61,2.4845
0.6,2.44698
0.59,2.39939
0.58,2.47947
0.57,2.39573
0.56,2.43893
0.55,2.47033
0.54,2.44857
0.53,2.47033
0.52,2.47033
0.51,2.44857
0.5,1.98885
0.49,0.440382
0.48,0.310141
0.47,0.387648
0.46,0.364563
0.45,0.480492
0.44,0.255537
0.43,0.286946
0.42,0.514729
0.41,0.317036
0.4,0.243396
0.39,0.189191
0.38,0.360845
0.37,0.197465
0.36,0.163939
0.35,0.155324
0.34,0.203939
0.33,0.142907
0.32,0.135965
0.31,0.111327
0.3,0.126818
0.29,0.122968
0.28,0.120315
0.27,0.107809
0.26,0.107809
0.25,0.0976781
0.24,0.0976781
0.23,0.0976781
0.22,0.0976781
0.21,0.0976781
0.2,0.0976781
0.19,0.0976781
0.18,0.0976781
0.17,0.0976781
0.16,0.0976781
0.15,0.0976781
0.14,0.0976781
0.13,0.0976781
0.12,0.0976781
