gridstep,error
1,2.73723
0.99,2.73817
0.98,2.7391
0.97,2.74004
0.96,2.47384
0.95,2.47429
0.94,2.47475
0.93,2.48091
0.92,2.42522
0.91,2.42598
0.9,2.42675
0.89,2.42752
0.88,2.42751
0.87,1.96131
0.86,2.71099
0.85,2.71199
0.84,2.63178
0.83,2.63532
0.82,2.44767
0.81,2.24509
0.8,2.45491
0.79,2.45561
0.78,2.41211
0.77,2.3881
0.76,2.67917
0.75,2.67215
0.74,2.44581
0.73,2.76598
0.72,2.4088
0.71,2.3902
0.7,2.26684
0.69,1.99813
0.68,2.50637
0.67,2.31841
0.66,2.33168
0.65,2.22261
0.64,2.22801
0.63,2.01581
0.62,2.21496
0.61,2.03785
0.6,2.16376
0.59,1.5244
0.58,1.83392
0.57,1.63495
0.56,1.57559
0.55,1.75366
0.54,1.25883
0.53,1.5415
0.52,1.19016
0.51,1.45171
0.5,1.49808
0.49,1.02645
0.48,0.867713
0.47,0.912543
0.46,0.993952
0.45,0.995033
0.44,0.845339
0.43,0.92446
0.42,0.952858
0.41,0.805637
0.4,0.730546
0.39,0.595615
0.38,0.788652
0.37,0.37195
0.36,0.448915
0.35,0.257264
0.34,0.223135
0.33,0.164807
0.32,0.156505
0.31,0.130241
0.3,0.124841
0.29,0.0652295
0.28,0.064962
0.27,0.0461585
0.26,0.0439377
0.25,0.0423042
0.24,0.036935
0.23,0.0262006
0.22,0.0227052
0.21,0.0233117
0.2,0.0193671
0.19,0.0146288
0.18,0.0134216
0.17,0.0110848
0.16,0.010505
0.15,0.00873059
0.14,0.00764483
0.13,0.00626371
0.12,0.00515534
