gridstep,error
1,0
0.99,0.159918
0.98,0.247761
0.97,0.252479
0.96,0.260836
0.95,0.264813
0.94,0.243318
0.93,0.228524
0.92,0.235963
0.91,0.24278
0.9,0.193779
0.89,0.672128
0.88,0.778456
0.87,0.794725
0.86,0.700528
0.85,0.70092
0.84,0.601077
0.83,0.52286
0.82,0.454299
0.81,0.457738
0.8,0.460357
0.79,0.575759
0.78,0.690552
0.77,0.718917
0.76,0.719992
0.75,0.586087
0.74,0.701168
0.73,0.164021
0.72,0.148247
0.71,0.148411
0.7,0.179057
0.69,0.610826
0.68,0.576731
0.67,0.551593
0.66,0.516288
0.65,0.502937
0.64,0.625587
0.63,0.527275
0.62,0.510434
0.61,0.438739
0.6,0.484046
0.59,0.538962
0.58,0.609356
0.57,0.456395
0.56,0.369871
0.55,0.388093
0.54,0.425246
0.53,0.290322
0.52,0.350537
0.51,0.377229
0.5,0.138997
0.49,0.312298
0.48,0.221397
0.47,0.214888
0.46,0.265694
0.45,0.180704
0.44,0.145022
0.43,0.133211
0.42,0.151743
0.41,0.148498
0.4,0.0817698
0.39,0.0864562
0.38,0.135583
0.37,0.0763416
0.36,0.0714758
0.35,0.0668527
0.34,0.0696981
0.33,0.064918
0.32,0.0565256
0.31,0.062234
0.3,0.0569399
0.29,0.0539249
0.28,0.0478119
0.27,0.0460779
0.26,0.0494864
0.25,0.045663
0.24,0.0441732
0.23,0.0449852
0.22,0.0436912
0.21,0.0440657
0.2,0.0436483
0.19,0.0444496
0.18,0.0447134
0.17,0.0432802
0.16,0.0420911
0.15,0.0438565
0.14,0.0431161
0.13,0.042215
0.12,0.0431096
