gridstep,error
1,0
0.99,0
0.98,0
0.97,0
0.96,0.411096
0.95,0.407409
0.94,0.403492
0.93,0.399325
0.92,0.394885
0.91,0.390145
0.9,0
0.89,0
0.88,0
0.87,0
0.86,0
0.85,0
0.84,0
0.83,0
0.82,0
0.81,0
0.8,0.304618
0.79,0.305209
0.78,0.306123
0.77,0.481123
0.76,0.480579
0.75,0.378847
0.74,0.33851
0.73,0.222372
0.72,0.231387
0.71,0.42145
0.7,0.412349
0.69,0.338912
0.68,0.309195
0.67,0.254203
0.66,0.298483
0.65,0.170259
0.64,0.171279
0.63,0.248333
0.62,0.223623
0.61,0.227942
0.6,0.306844
0.59,0.250741
0.58,0.320895
0.57,0.270054
0.56,0.275753
0.55,0.402033
0.54,0.402987
0.53,0.425591
0.52,0.565631
0.51,0.274405
0.5,0.335854
0.49,0.36013
0.48,0.307073
0.47,0.374084
0.46,0.338151
0.45,0.3208
0.44,0.355113
0.43,0.336677
0.42,0.35388
0.41,0.333383
0.4,0.272515
0.39,0.30759
0.38,0.331352
0.37,0.296567
0.36,0.266203
0.35,0.277352
0.34,0.259519
0.33,0.251277
0.32,0.242287
0.31,0.228623
0.3,0.223674
0.29,0.208813
0.28,0.187403
0.27,0.185445
0.26,0.174096
0.25,0.159427
0.24,0.136841
0.23,0.115807
0.22,0.101445
0.21,0.0904526
0.2,0.051182
0.19,0.0436025
0.18,0.0336121
0.17,0.0302243
0.16,0.0272814
0.15,0.0238074
0.14,0.0221152
0.13,0.0192996
0.12,0.0168614
