gridstep,error
1,0.591787
0.99,0.589621
0.98,0.602583
0.97,0.626623
0.96,0.661011
0.95,0.655034
0.94,0.70545
0.93,0.704474
0.92,0.630203
0.91,0.62455
0.9,0.573257
0.89,0.686367
0.88,0.68393
0.87,0.645292
0.86,0.597029
0.85,0.631155
0.84,0.667261
0.83,0.648511
0.82,0.650144
0.81,0.619986
0.8,0.683639
0.79,0.617754
0.78,0.587691
0.77,0.619777
0.76,0.590208
0.75,0.589093
0.74,0.57235
0.73,0.602351
0.72,0.658089
0.71,0.6612
0.7,0.618312
0.69,0.549406
0.68,0.498086
0.67,0.454706
0.66,0.470015
0.65,0.460421
0.64,0.40739
0.63,0.383148
0.62,0.362763
0.61,0.341996
0.6,0.321618
0.59,0.351504
0.58,0.330159
0.57,0.313256
0.56,0.303507
0.55,0.266852
0.54,0.187113
0.53,0.279182
0.52,0.174423
0.51,0.206882
0.5,0.144464
0.49,0.0769682
0.48,0.0638191
0.47,0.0753441
0.46,0.078242
0.45,0.0812243
0.44,0.057576
0.43,0.056381
0.42,0.0902187
0.41,0.0679064
0.4,0.0619929
0.39,0.0531038
0.38,0.0649151
0.37,0.0522868
0.36,0.0501581
0.35,0.0483221
0.34,0.0500501
0.33,0.0480737
0.32,0.0501441
0.31,0.0478174
0.3,0.0479909
0.29,0.0487958
0.28,0.0482269
0.27,0.0475919
0.26,0.0470684
0.25,0.046715
0.24,0.046913
0.23,0.0472384
0.22,0.0472973
0.21,0.04708
0.2,0.0468923
0.19,0.0471361
0.18,0.0471829
0.17,0.0470947
0.16,0.046424
0.15,0.0470029
0.14,0.0466845
0.13,0.0465864
0.12,0.046767
