gridstep,error
1,0.653618
0.99,0.650146
0.98,0.647205
0.97,0.778567
0.96,0.856946
0.95,0.853804
0.94,0.938255
0.93,0.919901
0.92,0.815087
0.91,0.81531
0.9,0.715818
0.89,0.962838
0.88,0.88868
0.87,0.693867
0.86,0.861496
0.85,0.893907
0.84,0.951386
0.83,0.963604
0.82,1.00651
0.81,0.915239
0.8,0.801551
0.79,0.718829
0.78,0.707632
0.77,0.715957
0.76,0.745711
0.75,0.683893
0.74,0.753839
0.73,0.688384
0.72,0.760823
0.71,0.629493
0.7,0.54483
0.69,0.594075
0.68,0.562605
0.67,0.544851
0.66,0.524326
0.65,0.483346
0.64,0.460854
0.63,0.456887
0.62,0.48182
0.61,0.445835
0.6,0.447699
0.59,0.419804
0.58,0.413551
0.57,0.347799
0.56,0.380258
0.55,0.350648
0.54,0.321428
0.53,0.358891
0.52,0.290376
0.51,0.293021
0.5,0.248826
0.49,0.208016
0.48,0.194661
0.47,0.232833
0.46,0.225469
0.45,0.215271
0.44,0.139036
0.43,0.133328
0.42,0.175774
0.41,0.172281
0.4,0.0913714
0.39,0.0745288
0.38,0.139285
0.37,0.053834
0.36,0.0463061
0.35,0.0374177
0.34,0.0318539
0.33,0.0245084
0.32,0.0225913
0.31,0.0172952
0.3,0.015161
0.29,0.0130974
0.28,0.0111558
0.27,0.00977118
0.26,0.00868983
0.25,0.0073799
0.24,0.00659976
0.23,0.00585092
0.22,0.00510202
0.21,0.00439897
0.2,0.00372596
0.19,0.00330591
0.18,0.00326128
0.17,0.00239478
0.16,0.0021114
0.15,0.0016283
0.14,0.00135483
0.13,0.000958139
0.12,0.000791059
