gridstep,error
0.11,0.0218391
0.1075,0.0263529
0.105,0.0293932
0.1025,0.0277737
0.1,0.029243
0.0975,0.0301058
0.095,0.0330165
0.0925,0.033628
0.09,0.033507
0.0875,0.0355796
0.085,0.0389989
0.0825,0.0386965
0.08,0.0546295
0.0775,0.0486682
0.075,0.046727
0.0725,0.0522682
0.07,0.0524544
0.0675,0.0577108
0.065,0.0594924
0.0625,0.0606535
0.06,0.0659716
0.0575,0.0664924
0.055,0.0670172
0.0525,0.0709046
0.05,0.0734608
0.0475,0.0732521
0.045,0.0788372
0.0425,0.082066
0.04,0.0828486
0.0375,0.0883907
0.035,0.0887662
0.0325,0.0951692
0.03,0.0952428
