gridstep,error
0.11,0.0152985
0.1075,0.0141216
0.105,0.015144
0.1025,0.015315
0.1,0.015052
0.0975,0.0136772
0.095,0.0170622
0.0925,0.0155288
0.09,0.0147573
0.0875,0.0149151
0.085,0.0148343
0.0825,0.0134512
0.08,0.0196438
0.0775,0.0155118
0.075,0.0161238
0.0725,0.0158464
0.07,0.015998
0.0675,0.015261
0.065,0.0148031
0.0625,0.0125403
0.06,0.0134501
0.0575,0.0126401
0.055,0.0125875
0.0525,0.0133889
0.05,0.0119078
0.0475,0.0120543
0.045,0.011555
0.0425,0.0110479
0.04,0.0105812
0.0375,0.0102279
0.035,0.00992574
0.0325,0.00924537
0.03,0.00893938
