gridstep,error
0.11,0.0502131
0.1075,0.046163
0.105,0.0410793
0.1025,0.0447778
0.1,0.0565239
0.0975,0.0457935
0.095,0.0423452
0.0925,0.050217
0.09,0.0424787
0.0875,0.0432147
0.085,0.0327238
0.0825,0.0474589
0.08,0.0327505
0.0775,0.0407655
0.075,0.0400619
0.0725,0.0337058
0.07,0.0378142
0.0675,0.0356193
0.065,0.0380953
0.0625,0.0333845
0.06,0.0384491
0.0575,0.0292916
0.055,0.0297963
0.0525,0.0282705
0.05,0.0263924
0.0475,0.0251912
0.045,0.0242042
0.0425,0.0261298
0.04,0.0240584
0.0375,0.0232139
0.035,0.0224636
0.0325,0.0219362
0.03,0.0208407
