gridstep,error
0.11,0.249467
0.1075,0.26206
0.105,0.355813
0.1025,0.286376
0.1,0.272946
0.0975,0.287583
0.095,0.36588
0.0925,0.400644
0.09,0.321323
0.0875,0.351969
0.085,0.459113
0.0825,0.380713
0.08,0.520104
0.0775,0.524523
0.075,0.443329
0.0725,0.608307
0.07,0.485178
0.0675,0.586902
0.065,0.50071
0.0625,0.467445
0.06,0.567654
0.0575,0.494485
0.055,0.462822
0.0525,0.461753
0.05,0.457174
0.0475,0.461571
0.045,0.483798
0.0425,0.538748
0.04,0.504304
0.0375,0.535021
0.035,0.531469
0.0325,0.56296
0.03,0.575581
