gridstep,error
0.11,0.133397
0.1075,0.129031
0.105,0.122324
0.1025,0.101916
0.1,0.0740975
0.0975,0.111223
0.095,0.109428
0.0925,0.0977721
0.09,0.100524
0.0875,0.0973359
0.085,0.0998085
0.0825,0.0825996
0.08,0.103739
0.0775,0.101737
0.075,0.079929
0.0725,0.09078
0.07,0.0989661
0.0675,0.082396
0.065,0.0763373
0.0625,0.0671005
0.06,0.0714413
0.0575,0.06789
0.055,0.0686414
0.0525,0.0754885
0.05,0.0811003
0.0475,0.0754544
0.045,0.0673514
0.0425,0.0511863
0.04,0.0668809
0.0375,0.0591725
0.035,0.0631732
0.0325,0.0575979
0.03,0.0612913
