gridstep,error
0.11,0.139741
0.1075,0.133346
0.105,0.130487
0.1025,0.106625
0.1,0.079998
0.0975,0.117274
0.095,0.114606
0.0925,0.103194
0.09,0.103434
0.0875,0.100509
0.085,0.107793
0.0825,0.0899977
0.08,0.110396
0.0775,0.107713
0.075,0.085756
0.0725,0.0961506
0.07,0.107543
0.0675,0.0867816
0.065,0.0800637
0.0625,0.0703606
0.06,0.0747049
0.0575,0.0702442
0.055,0.0718975
0.0525,0.0770333
0.05,0.0780532
0.0475,0.0780533
0.045,0.0735145
0.0425,0.0513149
0.04,0.0647336
0.0375,0.0593705
0.035,0.0626619
0.0325,0.0560716
0.03,0.0594738
