gridstep,error
0.11,0.354175
0.1075,0.358237
0.105,0.351884
0.1025,0.364463
0.1,0.398453
0.0975,0.386549
0.095,0.38846
0.0925,0.401993
0.09,0.399097
0.0875,0.420418
0.085,0.441862
0.0825,0.46352
0.08,0.44626
0.0775,0.479015
0.075,0.47929
0.0725,0.46748
0.07,0.48568
0.0675,0.515636
0.065,0.529832
0.0625,0.545593
0.06,0.563054
0.0575,0.557471
0.055,0.577209
0.0525,0.592118
0.05,0.608212
0.0475,0.615683
0.045,0.634735
0.0425,0.645415
0.04,0.662218
0.0375,0.676788
0.035,0.689398
0.0325,0.712876
0.03,0.725057
